
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p
 6.660000e-04      2.499136e+00      8.735542e-01     -2.582742e-04     
 6.680000e-04      2.499129e+00      8.735571e-01     -2.582740e-04     
 6.700000e-04      2.499123e+00      8.735599e-01     -2.582739e-04     
 6.720000e-04      2.499117e+00      8.735626e-01     -2.582737e-04     
 6.740000e-04      2.499111e+00      8.735652e-01     -2.582735e-04     
 6.760000e-04      2.499106e+00      8.735678e-01     -2.582734e-04     
 6.780000e-04      2.499100e+00      8.735704e-01     -2.582732e-04     
 6.800000e-04      2.499095e+00      8.735728e-01     -2.582731e-04     
 6.820000e-04      2.499089e+00      8.735752e-01     -2.582729e-04     
 6.840000e-04      2.499084e+00      8.735775e-01     -2.582728e-04     
 6.860000e-04      2.499079e+00      8.735798e-01     -2.582726e-04     
 6.880000e-04      2.499074e+00      8.735820e-01     -2.582725e-04     
 6.900000e-04      2.499070e+00      8.735841e-01     -2.582724e-04     
 6.920000e-04      2.499065e+00      8.735862e-01     -2.582722e-04     
 6.940000e-04      2.499061e+00      8.735882e-01     -2.582721e-04     
 6.960000e-04      2.499057e+00      8.735901e-01     -2.582720e-04     
 6.980000e-04      2.499052e+00      8.735920e-01     -2.582719e-04     
 7.000000e-04      2.499048e+00      8.735937e-01     -2.582718e-04     
 7.020000e-04      2.499045e+00      8.735955e-01     -2.582716e-04     
 7.040000e-04      2.499041e+00      8.735971e-01     -2.582715e-04     
 7.060000e-04      2.499037e+00      8.735987e-01     -2.582714e-04     
 7.080000e-04      2.499034e+00      8.736002e-01     -2.582713e-04     
 7.100000e-04      2.499031e+00      8.736016e-01     -2.582713e-04     
 7.120000e-04      2.499028e+00      8.736030e-01     -2.582712e-04     
 7.140000e-04      2.499025e+00      8.736043e-01     -2.582711e-04     
 7.160000e-04      2.499022e+00      8.736055e-01     -2.582710e-04     
 7.180000e-04      2.499020e+00      8.736066e-01     -2.582709e-04     
 7.200000e-04      2.499017e+00      8.736077e-01     -2.582709e-04     
 7.220000e-04      2.499015e+00      8.736087e-01     -2.582708e-04     
 7.240000e-04      2.499013e+00      8.736097e-01     -2.582708e-04     
 7.260000e-04      2.499011e+00      8.736105e-01     -2.582707e-04     
 7.280000e-04      2.499009e+00      8.736113e-01     -2.582707e-04     
 7.300000e-04      2.499007e+00      8.736120e-01     -2.582706e-04     
 7.320000e-04      2.499006e+00      8.736127e-01     -2.582706e-04     
 7.340000e-04      2.499005e+00      8.736133e-01     -2.582705e-04     
